Group	Species	Classification	sppsOnBins	N	N_Institutes	taxIDs	BINs	Phylum	Order	Family	Genus
Actinopterygii	Chaenophryne longiceps	C	Chaenophryne longiceps	6	5	125610	BOLD:ACE3799,BOLD:AAD9322	Chordata	Lophiiformes	Oneirodidae	Chaenophryne
Actinopterygii	Chaenophryne melanorhabdus	D	Chaenophryne draco,Chaenophryne melanorhabdus	1	1	125611	BOLD:AAW6717	Chordata	Lophiiformes	Oneirodidae	Chaenophryne
Actinopterygii	Chaenopsis schmitti	F		0	0	509394		Chordata	Perciformes	Chaenopsidae	Chaenopsis
Actinopterygii	Chaetodon auriga	A	Chaetodon auriga	45	14	11445	BOLD:AAB1540	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chaetodon humeralis	D	Chaetodon humeralis	1	1	11438	BOLD:AAD9262	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chaetodon kleinii	E*	Chaetodon kleinii,Chaetodon trichrous	19	7	11440	BOLD:AAC2841	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chaetodon lunula	A	Chaetodon lunula	30	9	11437	BOLD:AAB7103	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chaetodon meyeri	A	Chaetodon meyeri	11	4	55974	BOLD:AAC8622	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chaetodon unimaculatus	E*	Chaetodon interruptus,Chaetodon unimaculatus	14	7	89253	BOLD:AAB3547	Chordata	Perciformes	Chaetodontidae	Chaetodon
Actinopterygii	Chanos chanos	A	Chanos chanos	29	13	16505	BOLD:AAC1320	Chordata	Gonorhynchiformes	Chanidae	Chanos
Actinopterygii	Chauliodus danae	D	Chauliodus danae	1	1	141014	BOLD:AAK1068	Chordata	Stomiiformes	Stomiidae	Chauliodus
Actinopterygii	Chauliodus sloani	C	Chauliodus sloani	49	13	25745	BOLD:AAB1177,BOLD:AAB1181,BOLD:AAB1179,BOLD:AAT9200,BOLD:AAB1178	Chordata	Stomiiformes	Stomiidae	Chauliodus
